tweet_id,text,suggested_intent,gold_intent
2538197,.@115850 THIS IS THE HEIGHTS OF BAD CUSTOMER SERVICE FROM YOU;. A small HAS TAKEN MORE THAN A MONTH TO BE DELIVERED BY YOU. AND IT HAS SURPASSED THE DELIVERY DATE OF MORE THAN A MONTH.. YOU HAVE GOT THE MONEY WHY DO U CARE NOW&gt;&gt; DISGUSTING,delivery_tracking,delivery_tracking
792665,@AmazonHelp Will cancelling and reordering affect my future delivery date?,delivery_tracking,cancellation
388395,"@115850 no contact no update
Order ID : 1550
kindly providedeliver product. After calling so many times no update from delivery person. https://t.co/0W7xvGV1nc",delivery_tracking,delivery_tracking
1323926,@AmazonHelp Is there any way to report the delivery driver? I'm sure it's the same person as before that left a parcel in an unsecured place,delivery_tracking,delivery_tracking
279723,Really @115821 same day service and you loose the package? #Badservice https://t.co/7SOQ1Q41ob,delivery_tracking,delivery_tracking
351705,"@117795 Unethical delivery setup. Worst cust care. Order no 404-1061350-8629132 against canceled order at high cost, late delivery.",delivery_tracking,cancellation
1432399,"@AmazonHelp Placed an order for a Prime item 10/27, expected delivery 11/1. Now delivery delays and no updated eta available.",delivery_tracking,delivery_tracking
1239551,"@AmazonHelp Yes that is what I have to do now ! As I dont have another option apart from that ! 
I’d have gone for prime delivery if I’d know dis hapn !",delivery_tracking,delivery_tracking
2078412,@115821 two-day Prime shipping has failed me.,delivery_tracking,delivery_tracking
160245,@AmazonHelp @115830 How come literally everything I'm looking at recently is coming up as 3+ days for delivery on Prime? What is going on?,delivery_tracking,delivery_tracking
2847268,"@AmazonHelp  this is not a good place to leave a package! Open, exposed and vulnerable to theft.  Left work early to get it as knew it wasn't going to last long.  Set up trusted neighbours as well. 
Damages trust in service. https://t.co/Wb5o1n2mje",delivery_tracking,delivery_tracking
2498501,@117795 actually paid 5.99 for delivery. And order is over an hour late?!,delivery_tracking,delivery_tracking
2812164,@107921 just bought a 52 RCSS Model Oven from @115850 and got it delivered today. The door’s alignment is out. It hits the side panel while closing and opening. Also the crumb tray is missing. Do it return it to amazon or Morphy will fix it ?,delivery_tracking,product_issue
314007,@115850 i don't know why Amazon also providing worst service to customer.without my request it's showing delay in delivery. https://t.co/5DxlL0wYSq,delivery_tracking,delivery_tracking
1786192,@115850 I'm not able to speak to customer care. IVR is on some loop. My order is out on delivery but status says my action is required,delivery_tracking,delivery_tracking
