tweet_id,customer_text,generated_reply,grounding,correctness,helpfulness,unsupported_claims
2538197,.@115850 THIS IS THE HEIGHTS OF BAD CUSTOMER SERVICE FROM YOU;. A small HAS TAKEN MORE THAN A MONTH TO BE DELIVERED BY YOU. AND IT HAS SURPASSED THE DELIVERY DATE OF MORE THAN A MONTH.. YOU HAVE GOT THE MONEY WHY DO U CARE NOW&gt;&gt; DISGUSTING,I understand your disappointment with the delayed delivery. Please reach out to our support team here: https://t.co/T6y6Xlutbs so we can look into this for you.,5,4,5,4
792665,@AmazonHelp Will cancelling and reordering affect my future delivery date?,That is a possibility. You can see the most accurate delivery information at check-out.,5,4,5,5
388395,"@115850 no contact no update
Order ID : 1550
kindly providedeliver product. After calling so many times no update from delivery person. https://t.co/0W7xvGV1nc","I'm sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. Also, please avoid sharing your order details publicly, as this is personal information.",4,5,5,5
1323926,@AmazonHelp Is there any way to report the delivery driver? I'm sure it's the same person as before that left a parcel in an unsecured place,I'm sorry to hear that your parcel was left in an unsecured place. Please contact us here: https://t.co/JzP7hlA23B so this can be looked into further.,5,5,5,5
279723,Really @115821 same day service and you loose the package? #Badservice https://t.co/7SOQ1Q41ob,I'm really sorry to hear about your missing package. Please reach out to us here: https://t.co/hApLpMlfHN so we can look into this further and help.,5,5,5,4
351705,"@117795 Unethical delivery setup. Worst cust care. Order no 404-1061350-8629132 against canceled order at high cost, late delivery.","We would like to help investigate this for you. Please share your details with us securely here: https://t.co/GIJyeYqKE0, and we will get in touch shortly. For your privacy, please avoid sharing order details publicly.",5,5,5,5
1432399,"@AmazonHelp Placed an order for a Prime item 10/27, expected delivery 11/1. Now delivery delays and no updated eta available.",I'm sorry you haven't received your parcel yet. Does the tracking information here show a courier has been assigned for your order: https://t.co/ILEhhhHuzr?,5,4,5,4
1239551,"@AmazonHelp Yes that is what I have to do now ! As I dont have another option apart from that ! 
I’d have gone for prime delivery if I’d know dis hapn !","I completely understand, I'm sorry to hear that.",5,4,5,4
2078412,@115821 two-day Prime shipping has failed me.,I'm sorry for any inconvenience! What was the delivery date according to the order confirmation e-mail?,4,5,5,5
160245,@AmazonHelp @115830 How come literally everything I'm looking at recently is coming up as 3+ days for delivery on Prime? What is going on?,I apologize for the longer than expected wait. Here's some details that should help: https://t.co/E6PBNYlsiO. Let us know if you have any other questions or concerns!,5,5,5,5
2847268,"@AmazonHelp  this is not a good place to leave a package! Open, exposed and vulnerable to theft.  Left work early to get it as knew it wasn't going to last long.  Set up trusted neighbours as well. 
Damages trust in service. https://t.co/Wb5o1n2mje",I am so sorry we didn't deliver at instructed! We would like to look into this with you in real-time. Please contact us via phone or chat here: https://t.co/JzP7hlA23B,4,5,4,5
